,,,,,,,,,,,
Entry number,Band,Name of single,Year single released,City,State,State_id,Year formed,Year disbanded,Latitude,Longitude,Link to source
61,Weezer,Tired of Sex,1996,Los Angeles,California,CA,1992,1997,34.1141,-118.4068,https://en.wikipedia.org/wiki/Weezer
60,I Hate Myself,To a Husband at War,1997,Gainesville,Florida,FL,1996,1997,29.6804,-82.3459,https://en.wikipedia.org/wiki/I_Hate_Myself_(band)
59,Say Anything,Alive With the Glory of Love,2004,Los Angeles,California,CA,2000,2018,34.1141,-118.4068,https://en.wikipedia.org/wiki/Say_Anything_(band)
58,The Jazz June,The Scars to Prove It,2000,Kutztown,Pennsylvania,PA,1996,2003,40.5212,-75.7772,https://en.wikipedia.org/wiki/The_Jazz_June
57,Snowing,Sam Rudich,2009,Lehigh Valley,Pennsylvania,PA,2008,2011,40.5834,-75.5044,https://en.wikipedia.org/wiki/Snowing_(band)
56,The Anniversary,The D in Detroit,2000,Lawrence,Kansas,KS,1997,2004,38.9597,-95.2642,https://en.wikipedia.org/wiki/The_Anniversary
55,Ignition,Anger Means,1987,Washington,District of Columbia,DC,1986,1989,38.9047,-77.0163,https://www.discogs.com/artist/261148-Ignition-5?srsltid=AfmBOoqaOu3DrWS9yQJeoG2tbxnUZPQzcKg_nVj4FqzzI6oZ5pksvsEt
54,The Jealous Sound,Hope for Us,2003,Los Angeles,California,CA,2000,2017,34.1141,-118.4068,https://www.discogs.com/artist/1398350-The-Jealous-Sound
53,Rainer Maria,Tinfoil,1997,Madison,Wisconsin,WI,1995,2006,43.0822,-89.393,https://www.discogs.com/artist/533479-Rainer-Maria
52,Lifetime,(The Gym Is) Neutral Territory,1995,New Brunswick,New Jersey,NJ,1990,1997,40.487,-74.445,https://en.wikipedia.org/wiki/Lifetime_(band)
51,Moss Icon,I’m Back Sleeping* or Fucking* or Something,1993,Annapolis,Maryland,MD,1986,1991,38.9706,-76.5047,https://en.wikipedia.org/wiki/Moss_Icon
50,Bright Eyes,The Calendar Hung Itself …,2000,Omaha,Nebraska,NE,1995,2011,41.2627,-96.0529,https://en.wikipedia.org/wiki/Bright_Eyes_(band)
49,The World Is a Beautiful Place and I Am No Longer Afraid to Die,January 10th* 2014,2015,Willimantic,Connecticut,CT,2009,2026,41.7171,-72.2114,https://en.wikipedia.org/wiki/The_World_Is_a_Beautiful_Place_%26_I_Am_No_Longer_Afraid_to_Die
48,At the Drive-In,Transatlantic Foe,1998,El Paso,Texas,TX,1994,2001,31.8476,-106.43,https://en.wikipedia.org/wiki/At_the_Drive-In
47,Jets to Brazil,Chinatown,1998,Brooklyn,New York,NY,1997,2003,40.6501,-73.9496,https://en.wikipedia.org/wiki/Jets_to_Brazil
46,Embrace,No More Pain,1987,Washington,District of Columbia,DC,1985,1986,38.9047,-77.0163,https://en.wikipedia.org/wiki/Embrace_(American_band)
45,My Chemical Romance,I’m Not Okay (I Promise),2004,Belleville,New Jersey,NJ,2001,2013,40.7874,-74.1529,https://en.wikipedia.org/wiki/My_Chemical_Romance
44,Desaparecidos,The Happiest Place on Earth,2002,Omaha,Nebraska,NE,2001,2002,41.2627,-96.0529,https://en.wikipedia.org/wiki/Desaparecidos_(band)
43,Thursday,Never techically broke up but stopped touring and playing shows consistently *came back 2021*split with Into It Over It,2001,New Brunswick,New Jersey,NJ,1997,2012,40.487,-74.445,https://en.wikipedia.org/wiki/Thursday_(band)
42,Owls,Everyone Is My Friend,2001,Chicago,Illinois,IL,2001,2002,41.8375,-87.6866,https://www.discogs.com/artist/301454-Owls
41,Texas Is the Reason,Back and to the Left,1996,New York City,New York,NY,1994,1997,40.7128,-74.006,https://en.wikipedia.org/wiki/Texas_Is_the_Reason
40,Jimmy Eat World,Lucky Denver Mint,1999,Mesa,Arizona,AZ,1993,2026,33.4015,-111.7178,https://en.wikipedia.org/wiki/Jimmy_Eat_World_discography
39,Orchid,I Am Nietzche,2000,Amherst,Massachusetts,MA,1997,2002,42.3757,-72.5199,https://en.wikipedia.org/wiki/Orchid_(screamo_band)
38,Saves the Day,At Your Funeral,2001,Princeton,New Jersey,NJ,1997,2026,40.3562,-74.6693,https://en.wikipedia.org/wiki/Saves_the_Day
37,Joyce Manor,Constant Headache,2011,Torrance,California,CA,2008,2026,33.8346,-118.3416,https://en.wikipedia.org/wiki/Joyce_Manor
36,Braid,A Dozen Roses,1998,Champaign,Illinois,IL,1993,1999,40.1142,-88.2737,https://en.wikipedia.org/wiki/Braid_(band)
35,Fall Out Boy,Sugar We’re Going Down,2005,Wilmette,Illinois,IL,2001,2009,42.0771,-87.7282,https://en.wikipedia.org/wiki/Fall_Out_Boy
34,Death Cab for Cutie,A Movie Script Ending,2001,Bellingham,Washington,WA,1997,2026,48.7548,-122.469,https://en.wikipedia.org/wiki/Death_Cab_for_Cutie
