,,,,,,,,,,
Band,City,State,State_id,Year formed,Year disbanded,Latitude,Longitude,Dataset name,City:State_id,In x sources
Can't Swim,Keansburg,New Jersey,NJ,2015,2026,40.4469,-74.1315,ENAO,Keansburg:NJ,1
Loma Prieta,San Francisco,California,CA,2005,2026,37.7558,-122.4449,ENAO,San Francisco:CA,1
The Obsessives,Washington,District of Columbia,DC,2013,2026,38.9047,-77.0163,ENAO,Washington:DC,1
I Am The Avalanche,Brooklyn,New York,NY,2004,2026,40.6501,-73.9496,ENAO,Brooklyn:NY,1
Aaron West and The Roaring Twenties,Philadelphia,Pennsylvania,PA,2014,2026,40.0077,-75.1339,ENAO,Philadelphia:PA,1
Circa Survive,Philadelphia,Pennsylvania,PA,2004,2022,40.0077,-75.1339,ENAO,Philadelphia:PA,1
Boys Night Out,Burlington,Ontario,ON,2001,2016,43.3255,-79.799,ENAO,Burlington:ON,1
Jank,Philadelphia,Pennsylvania,PA,2015,2016,40.0077,-75.1339,ENAO,Philadelphia:PA,1
Drug Church,Albany,New York,NY,2011,2026,42.6664,-73.7987,ENAO,Albany:NY,1
Hot Cross,Philadelphia,Pennsylvania,PA,2000,2007,40.0077,-75.1339,ENAO,Philadelphia:PA,1
No Knife,San Diego,California,CA,1993,2003,32.8313,-117.1222,ENAO,San Diego:CA,1
Dismemberment Plan,Washington,District of Columbia,DC,1993,2003,38.9047,-77.0163,ENAO,Washington:DC,1
Engine Down,Richmond,Virginia,VA,1996,2005,37.5295,-77.4756,ENAO,Richmond:VA,1
Head Automatica,Brooklyn,New York,NY,2003,2012,40.6501,-73.9496,ENAO,Brooklyn:NY,1
Burning Airlines,Washington,District of Columbia,DC,1997,2002,38.9047,-77.0163,ENAO,Washington:DC,1
Twelve Hour Turn,Jacksonville,Florida,FL,1996,2002,30.3322,-81.6749,ENAO,Jacksonville:FL,1
Brandtson,Cleveland,Ohio,OH,1996,2008,41.4764,-81.6805,ENAO,Cleveland:OH,1
Pretty Girls Make Graves,Seattle,Washington,WA,2001,2007,47.6211,-122.3244,ENAO,Seattle:WA,1
Northstar,Huntsville,Alabama,AL,1997,2005,34.6981,-86.6412,ENAO,Huntsville:AL,1
Quicksand,New York City,New York,NY,1990,1995,40.7128,-74.006,ENAO,New York City:NY,1
Fairweather,Fairfax,Virginia,VA,1999,2003,38.8531,-77.2997,ENAO,Fairfax:VA,1
The Forecast,Peoria,Illinois,IL,2001,2017,40.752,-89.6154,ENAO,Peoria:IL,1
My Chemical Romance,Belleville,New Jersey,NJ,2001,2013,40.7874,-74.1529,ENAO,Belleville:NJ,4
Jeremy Enigk,Seattle,Washington,WA,1996,2026,47.6211,-122.3244,ENAO,Seattle:WA,1
Chamberlain,Bloomington,Indiana,IN,1989,2000,39.1637,-86.5257,ENAO,Bloomington:IN,1
Vitreous Humor,Topeka,Kansas,KS,1990,1996,39.0346,-95.6955,ENAO,Topeka:KS,1
Fall Out Boy,Wilmette,Illinois,IL,2001,2009,42.0771,-87.7282,ENAO,Wilmette:IL,4
The Van Pelt,New York City,New York,NY,1993,1997,40.7128,-74.006,ENAO,New York City:NY,3
Forests,Singapore,Singapore,SG,2014,2026,1.3521,103.8198,ENAO,Singapore:SG,2
The Format,Peoria,Arizona,AZ,2002,2008,33.7843,-112.2989,ENAO,Peoria:AZ,1
Boy Rex,Traverse City,Michigan,MI,2015,2019,44.7546,-85.6038,ENAO,Traverse City:MI,1
Love of Everything,Chicago,Illinois,IL,2003,2013,41.8375,-87.6866,ENAO,Chicago:IL,1
The Used,Orem,Utah,UT,2000,2026,40.2981,-111.6994,RStone,Orem:UT,3
Panic! at the Disco,Las Vegas,Nevada,NV,2004,2023,36.2333,-115.2654,RStone,Las Vegas:NV,3
Into It. Over It.,Chicago,Illinois,IL,2007,2026,41.8375,-87.6866,RStone,Chicago:IL,3
Indian Summer,Oakland,California,CA,1993,1994,37.7904,-122.2166,RStone,Oakland:CA,3
Orchid,Amherst,Massachusetts,MA,1997,2002,42.3757,-72.5199,RStone,Amherst:MA,3
Coheed and Cambria,Nyack,New York,NY,1995,2026,41.0919,-73.9143,RStone,Nyack:NY,3
Owls,Chicago,Illinois,IL,2001,2002,41.8375,-87.6866,RStone,Chicago:IL,3
The Jazz June,Kutztown,Pennsylvania,PA,1996,2003,40.5212,-75.7772,RStone,Kutztown:PA,3
Algernon Cadwallader,Yardley,Pennsylvania,PA,2005,2012,40.2408,-74.8386,RStone,Yardley:PA,3
The Jealous Sound,Los Angeles,California,CA,2000,2017,34.1141,-118.4068,RStone,Los Angeles:CA,4
Moss Icon,Annapolis,Maryland,MD,1986,1991,38.9706,-76.5047,RStone,Annapolis:MD,3
Brand New,Long Island,New York,NY,2000,2017,40.7128,-74.006,RStone,Long Island:NY,3
Paramore,Franklin,Tennessee,TN,2004,2025,35.92,-86.8516,RStone,Franklin:TN,3
Dashboard Confessional,Boca Raton,Florida,FL,1999,2011,26.3752,-80.108,RStone,Boca Raton:FL,5
Rainer Maria,Madison,Wisconsin,WI,1995,2006,43.0822,-89.393,RStone,Madison:WI,4
Cursive,Omaha,Nebraska,NE,1995,2026,41.2627,-96.0529,RStone,Omaha:NE,4
Embrace,Washington,District of Columbia,DC,1985,1986,38.9047,-77.0163,RStone,Washington:DC,4
Taking Back Sunday,Amityville,New York,NY,1999,2026,40.6696,-73.4156,RStone,Amityville:NY,4
Say Anything,Los Angeles,California,CA,2000,2018,34.1141,-118.4068,RStone,Los Angeles:CA,3
The Get Up Kids,Kansas City,Missouri,MO,1995,2005,39.1238,-94.5541,RStone,Kansas City:MO,5
At the Drive-In,El Paso,Texas,TX,1994,2001,31.8476,-106.43,RStone,El Paso:TX,4
Saves the Day,Princeton,New Jersey,NJ,1997,2026,40.3562,-74.6693,RStone,Princeton:NJ,5
Mineral,Houston,Texas,TX,1994,1998,29.786,-95.3885,RStone,Houston:TX,5
Drive Like Jehu,San Diego,California,CA,1990,1995,32.8313,-117.1222,RStone,San Diego:CA,3
Dag Nasty,Washington,District of Columbia,DC,1985,1988,38.9047,-77.0163,RStone,Washington:DC,2
Weezer,Los Angeles,California,CA,1992,1997,34.1141,-118.4068,RStone,Los Angeles:CA,2
Jimmy Eat World,Mesa,Arizona,AZ,1993,2026,33.4015,-111.7178,RStone,Mesa:AZ,5
Texas Is the Reason,New York City,New York,NY,1994,1998,40.7128,-74.006,RStone,New York City:NY,4
Thursday,New Brunswick,New Jersey,NJ,1997,2012,40.487,-74.445,RStone,New Brunswick:NJ,4
My Chemical Romance,Belleville,New Jersey,NJ,2001,2013,40.7874,-74.1529,RStone,Belleville:NJ,4
Fall Out Boy,Wilmette,Illinois,IL,2001,2009,42.0771,-87.7282,RStone,Wilmette:IL,4
Cap'n Jazz,Buffalo Grove,Illinois,IL,1989,1995,42.1675,-87.9615,RStone,Buffalo Grove:IL,5
American Football,Champaign-Urbana,Illinois,IL,1997,2000,40.1163,-88.2435,RStone,Champaign-Urbana:IL,5
Braid,Champaign,Illinois,IL,1993,1999,40.1142,-88.2737,RStone,Champaign:IL,5
Jawbreaker,East Bay,California,CA,1986,1996,37.8272,-122.2913,RStone,East Bay:CA,4
The Promise Ring,Milwaukee,Wisconsin,WI,1995,2002,43.0642,-87.9675,RStone,Milwaukee:WI,5
Rites of Spring,Washington,District of Columbia,DC,1983,1986,38.9047,-77.0163,RStone,Washington:DC,4
Sunny Day Real Estate,Seattle,Washington,WA,1992,1995,47.6211,-122.3244,RStone,Seattle:WA,4
Basement,Ipswich,Suffolk,EG,2009,2012,52.0597,1.1481,AltPress,Ipswich:EG,2
The Front Bottoms,Woodcliff Lake,New Jersey,NJ,2006,2026,41.0253,-74.0604,AltPress,Woodcliff Lake:NJ,2
The Hotelier,Worcester,Massachusetts,MA,2009,2026,42.2705,-71.8079,AltPress,Worcester:MA,3
Julien Baker,Murfreesboro,Tennessee,TN,2015,2026,35.849,-86.4121,AltPress,Murfreesboro:TN,1
Microwave,Atlanta,Georgia,GA,2012,2026,33.7628,-84.422,AltPress,Atlanta:GA,2
Modern Chemistry,Asbury Park,New Jersey,NJ,2013,2026,40.2226,-74.0119,AltPress,Asbury Park:NJ,1
Nothing*Nowhere,Burlington,Vermont,VT,2015,2026,44.4876,-73.2316,AltPress,Burlington:VT,1
Sleep On It,Chicago,Illinois,IL,2012,2020,41.8375,-87.6866,AltPress,Chicago:IL,1
Sorority Noise,Hartford,Connecticut,CT,2013,2018,41.7661,-72.6834,AltPress,Hartford:CT,2
Turnover,Virginia Beach,Virginia,VA,2009,2026,36.7335,-76.0435,AltPress,Virginia Beach:VA,2
American Football,Champaign-Urbana,Illinois,IL,1997,2000,40.1163,-88.2435,AltPress,Champaign-Urbana:IL,5
Braid,Champaign,Illinois,IL,1993,1999,40.1142,-88.2737,AltPress,Champaign:IL,5
Brand New,Long Island,New York,NY,2000,2017,40.7128,-74.006,AltPress,Long Island:NY,3
Dashboard Confessional,Boca Raton,Florida,FL,1999,2011,26.3752,-80.108,AltPress,Boca Raton:FL,5
Cap'n Jazz,Buffalo Grove,Illinois,IL,1989,1995,42.1675,-87.9615,AltPress,Buffalo Grove:IL,5
The Get Up Kids,Kansas City,Missouri,MO,1995,2005,39.1238,-94.5541,AltPress,Kansas City:MO,5
Jimmy Eat World,Mesa,Arizona,AZ,1993,2026,33.4015,-111.7178,AltPress,Mesa:AZ,5
Panic! at the Disco,Las Vegas,Nevada,NV,2004,2015,36.2333,-115.2654,AltPress,Las Vegas:NV,3
My Chemical Romance,Belleville,New Jersey,NJ,2001,2013,40.7874,-74.1529,AltPress,Belleville:NJ,4
The Promise Ring,Milwaukee,Wisconsin,WI,1995,2002,43.0642,-87.9675,AltPress,Milwaukee:WI,5
Rites of Spring,Washington,District of Columbia,DC,1983,1986,38.9047,-77.0163,AltPress,Washington:DC,4
Sunny Day Real Estate,Seattle,Washington,WA,1992,1995,47.6211,-122.3244,AltPress,Seattle:WA,4
Saves the Day,Princeton,New Jersey,NJ,1997,2026,40.3562,-74.6693,AltPress,Princeton:NJ,5
Embrace,Washington,District of Columbia,DC,1985,1986,38.9047,-77.0163,AltPress,Washington:DC,4
Fugazi,Washington,District of Columbia,DC,1986,2003,38.9047,-77.0163,AltPress,Washington:DC,1
Antioch Arrow,San Diego,California,CA,1992,1994,32.8313,-117.1222,AltPress,San Diego:CA,1
Swing Kids,San Diego,California,CA,1994,1997,32.8313,-117.1222,AltPress,San Diego:CA,3
Jawbreaker,East Bay,California,CA,1986,1996,37.8272,-122.2913,AltPress,East Bay:CA,4
Joan of Arc,Chicago,Illinois,IL,1995,2020,41.8375,-87.6866,AltPress,Chicago:IL,2
Mineral,Houston,Texas,TX,1994,1998,29.786,-95.3885,AltPress,Houston:TX,5
Thursday,New Brunswick,New Jersey,NJ,1997,2012,40.487,-74.445,AltPress,New Brunswick:NJ,4
At the Drive-In,El Paso,Texas,TX,1994,2001,31.8476,-106.43,AltPress,El Paso:TX,4
Further Seems Forever,Pompano Beach,Florida,FL,1998,2006,26.2428,-80.1312,AltPress,Pompano Beach:FL,2
Bright Eyes,Omaha,Nebraska,NE,1995,2011,41.2627,-96.0529,AltPress,Omaha:NE,2
Coheed and Cambria,Nyack,New York,NY,1995,2026,41.0919,-73.9143,AltPress,Nyack:NY,3
The Anniversary,Lawrence,Kansas,KS,1997,2004,38.9597,-95.2642,AltPress,Lawrence:KS,3
The Faint,Omaha,Nebraska,NE,1995,2026,41.2627,-96.0529,AltPress,Omaha:NE,1
Atreyu,Yorba Linda,California,CA,1998,2011,33.889,-117.7714,AltPress,Yorba Linda:CA,1
Eighteen Visions,Orange Count,California,CA,1995,2007,33.7175,-117.8311,AltPress,Orange Count:CA,1
Avenged Sevenfold,Huntington Beach,California,CA,1999,2026,33.696,-118.0018,AltPress,Huntington Beach:CA,1
At the Gates,Gothenburg,Sweden,SW,1990,1996,57.7089,11.9746,AltPress,Gothenburg:SW,1
The Used,Orem,Utah,UT,2000,2026,40.2981,-111.6994,AltPress,Orem:UT,3
Senses Fail,Ridgewood,New Jersey,NJ,2001,2026,40.9821,-74.1127,AltPress,Ridgewood:NJ,2
Fall Out Boy,Wilmette,Illinois,IL,2001,2009,42.0771,-87.7282,AltPress,Wilmette:IL,4
Lifetime,New Brunswick,New Jersey,NJ,1990,1997,40.487,-74.445,AltPress,New Brunswick:NJ,3
The Stereo,Pheonix,Arizona,AZ,1999,2004,33.5722,-112.0892,AltPress,Pheonix:AZ,1
Underoath,Tampa,Florida,FL,1997,2013,27.9945,-82.4447,AltPress,Tampa:FL,1
The Maine,Tempe,Arizona,AZ,2007,2026,33.3881,-111.9319,AltPress,Tempe:AZ,1
Every Avenue,Marysville,Michigan,MI,2003,2012,42.9084,-82.4806,AltPress,Marysville:MI,1
Boys Like Girls,Andover,Massachusetts,MA,2005,2026,42.6627,-71.1447,AltPress,Andover:MA,1
Forever the Sickest Kids,Dallas,Texas,TX,2006,2013,32.7935,-96.7667,AltPress,Dallas:TX,1
Paramore,Franklin,Tennessee,TN,2004,2025,35.92,-86.8516,AltPress,Franklin:TN,3
Attack! Attack!,Westerville,Ohio,OH,2007,2013,40.1241,-82.921,AltPress,Westerville:OH,1
Escape the Fate,Pahrump,Nevada,NV,2004,2026,36.2235,-115.9974,AltPress,Pahrump:NV,1
The Secret Handshake,Dallas,Texas,TX,2004,2011,32.7935,-96.7667,AltPress,Dallas:TX,1
PlayRadioPlay!,Aledo,Texas,TX,2005,2016,32.6974,-97.6069,AltPress,Aledo:TX,1
Never Shout Never,Joplin,Missouri,MO,2007,2019,37.0757,-94.5018,AltPress,Joplin:MO,1
Dance Gavin Dance,Sacramento,California,CA,2005,2026,38.5677,-121.4685,AltPress,Sacramento:CA,1
The Mars Volta,El Paso,Texas,TX,2001,2013,31.8476,-106.43,AltPress,El Paso:TX,1
Algernon Cadwallader,Yardley,Pennsylvania,PA,2005,2012,40.2408,-74.8386,AltPress,Yardley:PA,3
Snowing,Lehigh Valley,Pennsylvania,PA,2008,2011,40.5834,-75.5044,AltPress,Lehigh Valley:PA,2
The Wonder Years,Landsdale,Pennsylvania,PA,2005,2026,40.2415,-75.2838,AltPress,Landsdale:PA,2
Into It. Over It.,Chicago,Illinois,IL,2007,2026,41.8375,-87.6866,AltPress,Chicago:IL,3
La Dispute,Grand Rapids,Michigan,MI,2004,2026,42.9619,-85.6562,AltPress,Grand Rapids:MI,3
Touché Amoré,Los Angeles,California,CA,2007,2026,34.1141,-118.4068,AltPress,Los Angeles:CA,2
Tigers Jaw,Scranton,Pennsylvania,PA,2005,2026,41.4044,-75.6649,AltPress,Scranton:PA,3
Knapsack,Davis,California,CA,1993,2000,38.5553,-121.737,AltPress,Davis:CA,4
Taking Back Sunday,Amityville,New York,NY,1999,2026,40.6696,-73.4156,AltPress,Amityville:NY,4
Modern Baseball,Philadelphia,Pennsylvania,PA,2011,2017,40.0077,-75.1339,AltPress,Philadelphia:PA,3
The Weakerthans,Winnipeg,Manitoba,MB,1997,2014,49.8954,-97.1385,AltPress,Winnipeg:MB,1
Boston Manor,Blackpool,Lancashire,EG,2013,2026,53.8167,-3.037,AltPress,Blackpool:EG,1
Lil Peep,Long Beach,New York,NY,2013,2017,40.5887,-73.666,AltPress,Long Beach:NY,1
Lil Aaron,Frankfurt,Indiana,IN,2016,2026,40.2797,-86.5107,AltPress,Frankfurt:IN,1
