,,,,,,,,
Band,City,State,State_id,Year formed,Year disbanded,Latitude,Longitude,Link to source
Indian Summer,Oakland,California,CA,1993,1994,37.7904,-122.2166,https://en.wikipedia.org/wiki/Indian_Summer_(American_band)
Cursive,Omaha,Nebraska,NE,1995,2026,41.2627,-96.0529,https://www.discogs.com/artist/254433-Cursive
Old Gray,Hooksett,New Hampshire,NH,2011,2018,43.0463,-71.4365,https://en.wikipedia.org/wiki/Old_Gray
Taking Back Sunday,Amityville,New York,NY,1999,2026,40.6696,-73.4156,https://en.wikipedia.org/wiki/Taking_Back_Sunday
Boys Life,Kansas City,Missouri,MO,1993,1997,39.1238,-94.5541,https://en.wikipedia.org/wiki/Boys_Life_(band)
Small Brown Bike,Marshall,Michigan,MI,1996,2004,42.2618,-84.9598,https://en.wikipedia.org/wiki/Small_Brown_Bike
Orchid,Amherst,Massachusetts,MA,1997,2002,42.3757,-72.5199,https://en.wikipedia.org/wiki/Orchid_(screamo_band)
Seahaven,Torrance,California,CA,2009,2026,33.8346,-118.3416,https://en.wikipedia.org/wiki/Seahaven_(band)
Owen,Chicago,Illinois,IL,2001,2026,41.8375,-87.6866,https://www.discogs.com/artist/647607-Owen-4
Hot Rod Circuit,Auburn,Alabama,AL,1997,2007,32.6087,-85.4903,https://en.wikipedia.org/wiki/Hot_Rod_Circuit
Sorority Noise,Hartford,Connecticut,CT,2013,2018,41.7661,-72.6834,https://en.wikipedia.org/wiki/Sorority_Noise
Oso Oso,Long Beach,New York,NY,2014,2026,40.5887,-73.666,https://en.wikipedia.org/wiki/Oso_Oso
Samiam,Berkeley,California,CA,1988,2001,37.8722,-122.276,https://en.wikipedia.org/wiki/Samiam
Pianos Become The Teeth,Baltimore,Maryland,MD,2006,2026,39.3051,-76.6144,https://en.wikipedia.org/wiki/Pianos_Become_the_Teeth
Prince Daddy & the Hyena,Albany,New York,NY,2014,2026,42.6664,-73.7987,https://en.wikipedia.org/wiki/Prince_Daddy_%26_the_Hyena
Planes Mistaken For Stars,Peoria,Illinois,IL,1997,2008,40.752,-89.6154,https://en.wikipedia.org/wiki/Planes_Mistaken_for_Stars
Further Seems Forever,Pompano Beach,Florida,FL,1998,2006,26.2428,-80.1312,https://en.wikipedia.org/wiki/Further_Seems_Forever
I Hate Myself,Gainesville,Florida,FL,1996,1997,29.6804,-82.3459,https://en.wikipedia.org/wiki/I_Hate_Myself_(band)
The Starting Line,Churchville,Pennsylvania,PA,1999,2008,40.1922,-74.9982,https://en.wikipedia.org/wiki/The_Starting_Line
Brand New,Long Island,New York,NY,2000,2017,40.7128,-74.006,https://en.wikipedia.org/wiki/Brand_New_(band)
Mom Jeans.,Berkeley,California,CA,2014,2026,37.8722,-122.276,https://en.wikipedia.org/wiki/Mom_Jeans
Saetia,New York City,New York,NY,1997,1999,40.7128,-74.006,https://en.wikipedia.org/wiki/Saetia
Hot Water Music,Gainesville,Florida,FL,1994,2006,29.6804,-82.3459,https://en.wikipedia.org/wiki/Hot_Water_Music
The Jealous Sound,Los Angeles,California,CA,2000,2017,34.1141,-118.4068,https://www.discogs.com/artist/1398350-The-Jealous-Sound
Pageninetynine,Sterling,Virginia,VA,1997,2003,39.0052,-77.405,https://en.wikipedia.org/wiki/Pg._99
Pity Sex,Ann Arbor,Michigan,MI,2011,2016,42.2759,-83.731,https://en.wikipedia.org/wiki/Pity_Sex
Reggie And The Full Effect,Kansas City,Missouri,MO,1998,2008,39.1238,-94.5541,https://en.wikipedia.org/wiki/Reggie_and_the_Full_Effect
Armor For Sleep,Teaneck,New Jersey,NJ,2001,2009,40.8845,-74.008,https://en.wikipedia.org/wiki/Armor_for_Sleep
Sense Field,Harbor City,California,CA,1990,2004,33.7899,-118.2975,https://www.discogs.com/artist/314910-Sense-Field
Finch,Temecula,California,CA,1999,2006,33.4928,-117.1315,https://en.wikipedia.org/wiki/Finch_(American_band)
Dashboard Confessional,Boca Raton,Florida,FL,1999,2011,26.3752,-80.108,https://en.wikipedia.org/wiki/Dashboard_Confessional
Swing Kids,San Diego,California,CA,1994,1997,32.8313,-117.1222,https://en.wikipedia.org/wiki/Swing_Kids_(band)
The Early November,Hammonton,New Jersey,NJ,2001,2007,39.6572,-74.7678,https://en.wikipedia.org/wiki/The_Early_November
Midtown,New Brunswick,New Jersey,NJ,1998,2005,40.487,-74.445,https://en.wikipedia.org/wiki/Midtown_(band)
Pedro the Lion,Seattle,Washington,WA,1995,2006,47.6211,-122.3244,https://en.wikipedia.org/wiki/Pedro_the_Lion
Polar Bear Club,Rochester,New York,NY,2005,2014,43.168,-77.6162,https://en.wikipedia.org/wiki/Polar_Bear_Club
Moss Icon,Annapolis,Maryland,MD,1986,1991,38.9706,-76.5047,https://en.wikipedia.org/wiki/Moss_Icon
Senses Fail,Ridgewood,New Jersey,NJ,2001,2026,40.9821,-74.1127,https://en.wikipedia.org/wiki/Senses_Fail
Microwave,Atlanta,Georgia,GA,2012,2026,33.7628,-84.422,https://en.wikipedia.org/wiki/Microwave_(American_band)
At the Drive-In,El Paso,Texas,TX,1994,2001,31.8476,-106.43,https://en.wikipedia.org/wiki/At_the_Drive-In
Drive Like Jehu,San Diego,California,CA,1990,1995,32.8313,-117.1222,https://en.wikipedia.org/wiki/Drive_Like_Jehu
Citizen,Toledo,Ohio,OH,2009,2026,41.6638,-83.5827,https://en.wikipedia.org/wiki/Citizen_(band)
Embrace,Washington,District of Columbia,DC,1985,1986,38.9047,-77.0163,https://en.wikipedia.org/wiki/Embrace_(American_band)
PUP,Toronto,Ontario,ON,2010,2026,43.6548,-79.3884,https://en.wikipedia.org/wiki/PUP_(band)
Moose Blood,Canterbury,Kent,EG,2012,2018,51.277,1.0838,https://en.wikipedia.org/wiki/Moose_Blood
City of Caterpillar,Richmond,Virginia,VA,2000,2003,37.5295,-77.4756,https://en.wikipedia.org/wiki/City_of_Caterpillar
Say Anything,Los Angeles,California,CA,2000,2018,34.1141,-118.4068,https://en.wikipedia.org/wiki/Say_Anything_(band)
Real Friends,Tinley Park,Illinois,IL,2010,2026,41.567,-87.8049,https://en.wikipedia.org/wiki/Real_Friends_(band)
The Menzingers,Scranton,Pennsylvania,PA,2006,2026,41.4044,-75.6649,https://en.wikipedia.org/wiki/The_Menzingers
Have Mercy,Baltimore,Maryland,MD,2009,2020,39.3051,-76.6144,https://en.wikipedia.org/wiki/Have_Mercy_(band)
Rival Schools,New York City,New York,NY,1999,2003,40.7128,-74.006,https://en.wikipedia.org/wiki/Rival_Schools_(band)
Grade,Burlington,Ontario,ON,1994,2002,43.3255,-79.799,https://en.wikipedia.org/wiki/Grade_(band)
Boilermaker,San Diego,California,CA,1992,2002,32.8313,-117.1222,https://sophiesfloorboard.blogspot.com/2018/04/boilermaker.html
Man Overboard,Mt. Laurel,New Jersey,NJ,2008,2016,39.9242,-74.95,https://en.wikipedia.org/wiki/Man_Overboard_(band)
The Academy Is...,Chicago,Illinois,IL,2003,2011,41.8375,-87.6866,https://en.wikipedia.org/wiki/The_Academy_Is...
The Ataris,Anderson,Indiana,IN,1996,2009,40.0891,-85.6892,https://en.wikipedia.org/wiki/The_Ataris
The Front Bottoms,Woodcliff Lake,New Jersey,NJ,2006,2026,41.0253,-74.0604,https://en.wikipedia.org/wiki/The_Front_Bottoms
Jimmy Eat World,Mesa,Arizona,AZ,1993,2026,33.4015,-111.7178,https://en.wikipedia.org/wiki/Jimmy_Eat_World_discography
Bayside,Queens,New York,NY,2000,2026,40.7498,-73.7976,https://en.wikipedia.org/wiki/Bayside_(band)
Motion City Soundtrack,Minneapolis,Minnesota,MN,1997,2016,44.9635,-93.2678,https://en.wikipedia.org/wiki/Motion_City_Soundtrack
Portraits of Past,San Francisco,California,CA,1993,1995,37.7558,-122.4449,https://en.wikipedia.org/wiki/Portraits_of_Past
Title Fight,Kingston,Pennsylvania,PA,2003,2018,41.2652,-75.8876,https://en.wikipedia.org/wiki/Title_Fight
Transit,Stoneham,Massachusetts,MA,2006,2016,42.4817,-71.1002,https://en.wikipedia.org/wiki/Transit_(band)
